시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명
강원도 강릉시 견소동,202,202,0,송정한신,59.8,201211,8,"8,700",5,1997,경강로2539번길 8
강원도 강릉시 견소동,202,202,0,송정한신,39.08,201211,27,"6,100",3,1997,경강로2539번길 8
강원도 강릉시 견소동,289,289,0,송정해변신도브래뉴아파트,84.99,201211,6,"15,300",6,2005,경강로2539번길 22
강원도 강릉시 견소동,289,289,0,송정해변신도브래뉴아파트,84.99,201211,18,"16,700",6,2005,경강로2539번길 22
강원도 강릉시 교동,1982,1982,0,강릉교동롯데캐슬1단지,164.0098,201211,7,"31,217",3,2009,화부산로99번길 12
강원도 강릉시 교동,1982,1982,0,강릉교동롯데캐슬1단지,163.9852,201211,14,"28,151",1,2009,화부산로99번길 12
강원도 강릉시 교동,1982,1982,0,강릉교동롯데캐슬1단지,163.9852,201211,27,"34,830",9,2009,화부산로99번길 12
강원도 강릉시 교동,1982,1982,0,강릉교동롯데캐슬1단지,164.0098,201211,27,"30,307",5,2009,화부산로99번길 12
강원도 강릉시 교동,1983,1983,0,강릉교동롯데캐슬2단지,118.0686,201211,14,"24,120",3,2009,화부산로111번길 24
강원도 강릉시 교동,1750,1750,0,교동1주공,59.89,201211,19,"13,200",6,1999,가작로 78
강원도 강릉시 교동,1750,1750,0,교동1주공,49.85,201211,19,"8,500",5,1999,가작로 78
강원도 강릉시 교동,1750,1750,0,교동1주공,59.89,201211,21,"11,500",1,1999,가작로 78
강원도 강릉시 교동,1766,1766,0,교동3주공,59.79,201211,1,"11,700",1,2002,교동광장로 138-12
강원도 강릉시 교동,1766,1766,0,교동3주공,59.86,201211,10,"13,000",15,2002,교동광장로 138-12
강원도 강릉시 교동,1766,1766,0,교동3주공,59.86,201211,16,"13,300",13,2002,교동광장로 138-12
강원도 강릉시 교동,1766,1766,0,교동3주공,59.86,201211,19,"12,900",2,2002,교동광장로 138-12
강원도 강릉시 교동,1766,1766,0,교동3주공,59.86,201211,20,"13,000",10,2002,교동광장로 138-12
강원도 강릉시 교동,1766,1766,0,교동3주공,59.86,201211,26,"12,300",2,2002,교동광장로 138-12
강원도 강릉시 교동,357,357,0,교동이-편한세상,123.7566,201211,8,"26,000",14,2006,종합운동장길 92
강원도 강릉시 교동,357,357,0,교동이-편한세상,84.7155,201211,26,"21,700",9,2006,종합운동장길 92
강원도 강릉시 교동,Nov-37,37,11,교동임대,51.66,201211,27,"6,550",3,1987,명륜로 109-4
강원도 강릉시 교동,834,834,0,덕진,40.86,201211,13,"3,990",2,1988,옛강일길 28
강원도 강릉시 교동,1780,1780,0,부영3차,84.93,201211,4,"17,800",9,2001,하슬라로 124
강원도 강릉시 교동,1780,1780,0,부영3차,84.93,201211,19,"10,800",11,2001,하슬라로 124
강원도 강릉시 교동,1780,1780,0,부영3차,84.93,201211,24,"17,000",11,2001,하슬라로 124
강원도 강릉시 교동,1762,1762,0,부영5,84.93,201211,5,"17,100",4,2001,교동광장로 163
강원도 강릉시 교동,1775,1775,0,부영6,84.9763,201211,10,"15,750",1,2003,정원로 53-9
강원도 강릉시 교동,1775,1775,0,부영6,84.9763,201211,19,"9,776",15,2003,정원로 53-9
강원도 강릉시 교동,1775,1775,0,부영6,84.9763,201211,19,"19,000",11,2003,정원로 53-9
강원도 강릉시 교동,317-1,317,1,유화그린맨션,84.99,201211,29,"9,450",8,1991,가작로 170
강원도 강릉시 교동,758-27,758,27,태화맨션,76.75,201211,2,"6,900",4,1991,화부산로99번길 6-3
강원도 강릉시 교동,Jan-46,46,1,한신,59.84,201211,27,"5,100",11,1997,명륜로 95-7
강원도 강릉시 교동,Jan-46,46,1,한신,59.84,201211,29,"9,000",12,1997,명륜로 95-7
강원도 강릉시 남문동,183-2,183,2,삼익그린맨션,84.08,201211,13,"11,900",8,1992,홍제로 7-13
강원도 강릉시 내곡동,616,616,0,강부2,24.795,201211,20,"3,100",3,1988,관대길 63
강원도 강릉시 내곡동,Jan-75,75,1,관동2,49.94,201211,9,"3,500",5,1992,남산초교길12번길 11
강원도 강릉시 내곡동,127,127,0,남산삼익,72.01,201211,3,"9,000",7,1993,남부로125번길 37
강원도 강릉시 내곡동,127,127,0,남산삼익,58.74,201211,20,"8,000",9,1993,남부로125번길 37
강원도 강릉시 내곡동,127,127,0,남산삼익,58.74,201211,21,"6,900",9,1993,남부로125번길 37
강원도 강릉시 내곡동,469,469,0,내곡동현대,84.99,201211,23,"14,600",3,1998,범일로 645
강원도 강릉시 내곡동,623,623,0,내곡주공,39.3,201211,15,"4,500",4,1989,관대길16번길 6
강원도 강릉시 내곡동,476,476,0,내곡한라,59.97,201211,16,"9,500",14,1997,강변로 114
강원도 강릉시 내곡동,476,476,0,내곡한라,59.97,201211,29,"8,800",8,1997,강변로 114
강원도 강릉시 내곡동,756,756,0,석미모닝파크,84.3,201211,1,"13,092",2,2008,남산초교길11번길 12-5
강원도 강릉시 내곡동,756,756,0,석미모닝파크,84.3,201211,1,"13,163",7,2008,남산초교길11번길 12-5
강원도 강릉시 내곡동,756,756,0,석미모닝파크,84.3,201211,1,"13,163",8,2008,남산초교길11번길 12-5
강원도 강릉시 내곡동,756,756,0,석미모닝파크,84.3,201211,1,"13,163",4,2008,남산초교길11번길 12-5
강원도 강릉시 내곡동,756,756,0,석미모닝파크,84.98,201211,1,"13,292",12,2008,남산초교길11번길 12-5
강원도 강릉시 내곡동,756,756,0,석미모닝파크,70.48,201211,1,"10,995",2,2008,남산초교길11번길 12-5
강원도 강릉시 내곡동,756,756,0,석미모닝파크,84.98,201211,1,"13,242",9,2008,남산초교길11번길 12-5
강원도 강릉시 내곡동,756,756,0,석미모닝파크,84.98,201211,1,"13,292",7,2008,남산초교길11번길 12-5
강원도 강릉시 내곡동,756,756,0,석미모닝파크,84.3,201211,1,"13,313",7,2008,남산초교길11번길 12-5
강원도 강릉시 내곡동,756,756,0,석미모닝파크,70.48,201211,1,"11,180",12,2008,남산초교길11번길 12-5
강원도 강릉시 내곡동,756,756,0,석미모닝파크,84.3,201211,1,"13,163",9,2008,남산초교길11번길 12-5
강원도 강릉시 내곡동,756,756,0,석미모닝파크,84.98,201211,1,"13,292",10,2008,남산초교길11번길 12-5
강원도 강릉시 내곡동,756,756,0,석미모닝파크,70.48,201211,1,"11,180",4,2008,남산초교길11번길 12-5
강원도 강릉시 내곡동,756,756,0,석미모닝파크,84.98,201211,1,"13,292",9,2008,남산초교길11번길 12-5
강원도 강릉시 내곡동,756,756,0,석미모닝파크,84.98,201211,1,"13,292",6,2008,남산초교길11번길 12-5
강원도 강릉시 내곡동,756,756,0,석미모닝파크,84.98,201211,1,"13,242",10,2008,남산초교길11번길 12-5
강원도 강릉시 내곡동,756,756,0,석미모닝파크,84.3,201211,1,"13,313",10,2008,남산초교길11번길 12-5
강원도 강릉시 내곡동,756,756,0,석미모닝파크,84.3,201211,1,"13,313",5,2008,남산초교길11번길 12-5
강원도 강릉시 내곡동,756,756,0,석미모닝파크,84.98,201211,1,"13,292",11,2008,남산초교길11번길 12-5
강원도 강릉시 내곡동,756,756,0,석미모닝파크,70.48,201211,1,"11,180",8,2008,남산초교길11번길 12-5
강원도 강릉시 내곡동,756,756,0,석미모닝파크,70.48,201211,1,"11,180",9,2008,남산초교길11번길 12-5
강원도 강릉시 내곡동,756,756,0,석미모닝파크,84.98,201211,1,"13,292",3,2008,남산초교길11번길 12-5
강원도 강릉시 내곡동,756,756,0,석미모닝파크,70.48,201211,1,"11,180",6,2008,남산초교길11번길 12-5
강원도 강릉시 내곡동,756,756,0,석미모닝파크,84.98,201211,1,"13,025",2,2008,남산초교길11번길 12-5
강원도 강릉시 내곡동,756,756,0,석미모닝파크,70.48,201211,1,"11,180",5,2008,남산초교길11번길 12-5
강원도 강릉시 노암동,835,835,0,노암2주공,59.3,201211,11,"5,350",4,1984,노가니남길 25
강원도 강릉시 노암동,835,835,0,노암2주공,59.3,201211,28,"5,000",1,1984,노가니남길 25
강원도 강릉시 노암동,605,605,0,노암3한라,74.64,201211,9,"11,800",4,2000,남부로125번길 7
강원도 강릉시 노암동,605,605,0,노암3한라,74.64,201211,10,"13,500",11,2000,남부로125번길 7
강원도 강릉시 노암동,605,605,0,노암3한라,39.762,201211,24,"6,000",12,2000,남부로125번길 7
강원도 강릉시 노암동,610,610,0,노암남산현대,84.99,201211,13,"13,500",3,1998,남부로125번길 11
강원도 강릉시 노암동,610,610,0,노암남산현대,59.84,201211,22,"9,500",13,1998,남부로125번길 11
강원도 강릉시 노암동,390,390,0,노암한라,105.858,201211,15,"8,700",10,1994,노암길42번길 24
강원도 강릉시 노암동,390,390,0,노암한라,59.976,201211,21,"5,500",8,1994,노암길42번길 24
강원도 강릉시 노암동,397,397,0,서일,40.69,201211,14,"4,100",5,1988,노암길42번길 20
강원도 강릉시 노암동,711,711,0,신화,59.944,201211,22,"8,500",3,1998,강변로 270
강원도 강릉시 송정동,1061,1061,0,경포대신도브래뉴로얄카운티,155.837,201211,8,"20,400",1,2007,해안로 93-8
강원도 강릉시 송정동,1061,1061,0,경포대신도브래뉴로얄카운티,155.837,201211,20,"20,400",1,2007,해안로 93-8
강원도 강릉시 송정동,1061,1061,0,경포대신도브래뉴로얄카운티,155.416,201211,28,"30,000",8,2007,해안로 93-8
강원도 강릉시 송정동,940-3,940,3,고려2,84.97,201211,19,"10,500",10,1991,남강초교2길 43
강원도 강릉시 송정동,940,940,0,삼우은성,84.96,201211,10,"12,500",13,1992,남강초교1길 55
강원도 강릉시 연곡면 영진리,305-2,305,2,삼우그린,30.24,201211,2,"5,300",2,1999,연주로 132
강원도 강릉시 연곡면 영진리,305-2,305,2,삼우그린,30.24,201211,2,"5,300",2,1999,연주로 132
강원도 강릉시 연곡면 영진리,305-2,305,2,삼우그린,43.2,201211,13,"7,200",13,1999,연주로 132
강원도 강릉시 연곡면 영진리,380,380,0,영진부영3,84.9157,201211,12,"14,600",8,2008,영진3길 15
강원도 강릉시 입암동,501,501,0,강동3,45.37,201211,5,"3,900",1,1993,강변로410번길 35
