"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2016년 08월 10일","2,044.64","2,043.03","2,049.36","2,039.86","331.09M","0.04%"
"2016년 08월 09일","2,043.78","2,033.52","2,046.03","2,032.18","436.72M","0.62%"
"2016년 08월 08일","2,031.12","2,025.55","2,031.14","2,018.81","270.48M","0.65%"
"2016년 08월 05일","2,017.94","2,006.23","2,018.16","2,004.37","289.29M","0.90%"
"2016년 08월 04일","2,000.03","2,006.08","2,006.48","1,994.73","326.51M","0.26%"
"2016년 08월 03일","1,994.79","2,008.68","2,008.68","1,993.00","485.85M","-1.20%"
"2016년 08월 02일","2,019.03","2,023.55","2,026.10","2,017.59","409.94M","-0.52%"
"2016년 08월 01일","2,029.61","2,024.71","2,031.58","2,024.57","369.59M","0.67%"
"2016년 07월 29일","2,016.19","2,023.24","2,028.99","2,016.19","366.38M","-0.24%"
"2016년 07월 28일","2,021.10","2,029.07","2,029.38","2,014.36","350.88M","-0.20%"
"2016년 07월 27일","2,025.05","2,027.07","2,030.69","2,021.15","411.66M","-0.11%"
"2016년 07월 26일","2,027.34","2,009.40","2,027.34","2,008.25","338.61M","0.75%"
"2016년 07월 25일","2,012.32","2,014.74","2,020.69","2,006.63","350.23M","0.10%"
"2016년 07월 22일","2,010.34","2,005.37","2,014.44","2,002.66","320.95M","-0.09%"
"2016년 07월 21일","2,012.22","2,019.36","2,020.55","2,007.59","391.05M","-0.16%"
"2016년 07월 20일","2,015.46","2,013.40","2,015.47","2,003.87","316.34M","-0.07%"
"2016년 07월 19일","2,016.89","2,022.80","2,023.22","2,010.27","380.80M","-0.21%"
"2016년 07월 18일","2,021.11","2,018.22","2,022.11","2,012.30","380.09M","0.19%"
"2016년 07월 15일","2,017.26","2,015.37","2,022.34","2,011.10","477.81M","0.42%"
"2016년 07월 14일","2,008.77","2,004.12","2,009.67","1,997.94","340.23M","0.16%"
"2016년 07월 13일","2,005.55","2,007.65","2,013.60","1,995.84","357.64M","0.72%"
"2016년 07월 12일","1,991.23","1,991.13","1,998.03","1,986.45","432.65M","0.14%"
"2016년 07월 11일","1,988.54","1,979.36","1,990.95","1,977.81","337.76M","1.30%"
"2016년 07월 08일","1,963.10","1,972.28","1,979.75","1,956.91","356.53M","-0.56%"
"2016년 07월 07일","1,974.08","1,963.30","1,976.49","1,959.83","378.76M","1.07%"
"2016년 07월 06일","1,953.12","1,980.11","1,982.80","1,944.33","457.44M","-1.85%"
"2016년 07월 05일","1,989.85","1,995.69","1,996.77","1,985.94","405.49M","-0.27%"
"2016년 07월 04일","1,995.30","1,989.44","1,997.37","1,985.11","468.61M","0.40%"
"2016년 07월 01일","1,987.32","1,977.36","1,993.98","1,975.89","448.13M","0.86%"
"2016년 06월 30일","1,970.35","1,971.54","1,972.81","1,959.28","349.86M","0.72%"
"2016년 06월 29일","1,956.36","1,946.31","1,966.21","1,941.90","451.19M","1.04%"
"2016년 06월 28일","1,936.22","1,907.71","1,937.99","1,907.49","373.46M","0.49%"
"2016년 06월 27일","1,926.85","1,901.85","1,926.87","1,900.83","394.27M","0.08%"
"2016년 06월 24일","1,925.24","2,001.55","2,001.55","1,892.75","750.55M","-3.09%"
"2016년 06월 23일","1,986.71","1,989.42","1,990.71","1,980.14","455.39M","-0.29%"
"2016년 06월 22일","1,992.58","1,981.78","1,994.76","1,979.37","407.44M","0.50%"
"2016년 06월 21일","1,982.70","1,977.80","1,983.87","1,971.99","557.44M","0.08%"
"2016년 06월 20일","1,981.12","1,974.43","1,984.07","1,969.56","391.34M","1.42%"
"2016년 06월 17일","1,953.40","1,966.23","1,970.54","1,949.60","485.27M","0.07%"
"2016년 06월 16일","1,951.99","1,971.53","1,974.01","1,944.80","438.79M","-0.86%"
"2016년 06월 15일","1,968.83","1,972.00","1,975.87","1,960.97","376.77M","-0.16%"
"2016년 06월 14일","1,972.03","1,976.80","1,982.32","1,965.34","439.94M","-0.36%"
"2016년 06월 13일","1,979.06","2,001.03","2,001.79","1,976.69","443.00M","-1.91%"
"2016년 06월 10일","2,017.63","2,022.77","2,022.77","2,014.15","404.30M","-0.32%"
"2016년 06월 09일","2,024.17","2,028.02","2,035.27","2,012.14","599.68M","-0.14%"
"2016년 06월 08일","2,027.08","2,013.72","2,027.09","2,008.59","497.94M","0.77%"
"2016년 06월 07일","2,011.63","1,993.08","2,011.67","1,992.77","481.35M","1.30%"
"2016년 06월 03일","1,985.84","1,991.58","1,991.58","1,979.66","540.86M","0.04%"
"2016년 06월 02일","1,985.11","1,983.86","1,988.00","1,978.82","474.23M","0.12%"
"2016년 06월 01일","1,982.72","1,976.87","1,986.76","1,975.82","502.29M","-0.03%"
"2016년 05월 31일","1,983.40","1,962.47","1,984.18","1,958.16","657.04M","0.83%"
"2016년 05월 30일","1,967.13","1,969.72","1,970.54","1,955.49","550.50M","-0.10%"
"2016년 05월 27일","1,969.17","1,962.33","1,971.27","1,959.75","523.53M","0.62%"
"2016년 05월 26일","1,957.06","1,965.81","1,967.45","1,955.97","558.26M","-0.18%"
"2016년 05월 25일","1,960.51","1,953.63","1,964.91","1,951.17","656.87M","1.18%"
"2016년 05월 24일","1,937.68","1,951.18","1,951.39","1,937.67","517.08M","-0.90%"
"2016년 05월 23일","1,955.25","1,954.26","1,956.77","1,940.44","399.51M","0.39%"
"2016년 05월 20일","1,947.67","1,943.84","1,951.50","1,940.36","388.05M","0.05%"
"2016년 05월 19일","1,946.78","1,953.91","1,954.29","1,942.48","505.92M","-0.51%"
"2016년 05월 18일","1,956.73","1,962.78","1,964.34","1,945.56","696.27M","-0.58%"
"2016년 05월 17일","1,968.06","1,973.86","1,975.10","1,962.57","597.58M","0.01%"
"2016년 05월 16일","1,967.91","1,961.91","1,970.53","1,961.32","526.72M","0.05%"
"2016년 05월 13일","1,966.99","1,979.97","1,980.45","1,962.77","509.12M","-0.53%"
"2016년 05월 12일","1,977.49","1,973.28","1,981.49","1,970.54","462.88M","-0.13%"
"2016년 05월 11일","1,980.10","1,989.17","1,989.17","1,970.48","398.53M","-0.12%"
"2016년 05월 10일","1,982.50","1,965.86","1,982.50","1,964.90","369.08M","0.75%"
"2016년 05월 09일","1,967.81","1,974.52","1,976.14","1,962.92","342.19M","-0.45%"
"2016년 05월 04일","1,976.71","1,978.24","1,982.38","1,969.22","352.70M","-0.49%"
"2016년 05월 03일","1,986.41","1,988.34","1,989.41","1,979.66","310.49M","0.42%"
"2016년 05월 02일","1,978.15","1,991.84","1,991.84","1,977.03","328.20M","-0.80%"
"2016년 04월 29일","1,994.15","1,998.68","1,999.34","1,983.30","401.06M","-0.34%"
"2016년 04월 28일","2,000.93","2,020.83","2,022.99","1,998.60","341.14M","-0.72%"
"2016년 04월 27일","2,015.40","2,019.31","2,019.86","2,012.75","412.80M","-0.21%"
"2016년 04월 26일","2,019.63","2,013.26","2,021.59","2,011.85","509.28M","0.25%"
"2016년 04월 25일","2,014.55","2,016.05","2,016.65","2,007.18","397.68M","-0.05%"
"2016년 04월 22일","2,015.49","2,014.93","2,017.90","2,010.94","480.47M","-0.33%"
"2016년 04월 21일","2,022.10","2,014.60","2,022.10","2,009.45","392.10M","0.81%"
"2016년 04월 20일","2,005.83","2,017.05","2,023.77","2,005.82","423.96M","-0.27%"
"2016년 04월 19일","2,011.36","2,015.10","2,020.29","2,007.68","401.24M","0.11%"
"2016년 04월 18일","2,009.10","2,001.35","2,009.55","1,998.49","339.25M","-0.28%"
"2016년 04월 15일","2,014.71","2,013.38","2,016.95","2,008.68","317.71M","-0.06%"
"2016년 04월 14일","2,015.93","2,004.15","2,016.03","2,000.83","473.52M","1.75%"
"2016년 04월 12일","1,981.32","1,970.50","1,981.73","1,968.50","387.32M","0.56%"
"2016년 04월 11일","1,970.37","1,972.25","1,973.90","1,963.21","379.54M","-0.09%"
"2016년 04월 08일","1,972.05","1,961.29","1,972.12","1,954.11","400.62M","-0.09%"
"2016년 04월 07일","1,973.89","1,978.75","1,980.43","1,964.99","434.06M","0.13%"
"2016년 04월 06일","1,971.32","1,963.17","1,975.09","1,961.51","358.03M","0.44%"
"2016년 04월 05일","1,962.74","1,972.38","1,973.17","1,959.26","368.16M","-0.82%"
"2016년 04월 04일","1,978.97","1,974.73","1,979.03","1,969.35","363.32M","0.27%"
"2016년 04월 01일","1,973.57","1,994.77","1,994.77","1,970.17","392.26M","-1.12%"
"2016년 03월 31일","1,995.85","2,005.72","2,007.43","1,986.74","335.07M","-0.31%"
"2016년 03월 30일","2,002.14","2,005.24","2,009.10","1,998.51","368.30M","0.36%"
"2016년 03월 29일","1,994.91","1,986.93","1,997.33","1,984.07","385.45M","0.62%"
"2016년 03월 28일","1,982.54","1,984.93","1,992.46","1,981.37","410.47M","-0.06%"
"2016년 03월 25일","1,983.81","1,991.06","1,991.06","1,981.53","463.42M","-0.11%"
"2016년 03월 24일","1,985.97","1,988.46","1,992.76","1,981.17","341.17M","-0.46%"
"2016년 03월 23일","1,995.12","1,996.47","2,001.67","1,989.84","367.55M","-0.08%"
